ano_campeonato;cod_time;time;posicao;pontuacao;partidas;partidas_mandante;publico;publico_max;gols;gols_mandante;gols_visitante;gols_1_tempo;gols_2_tempo;vitorias;empates;derrotas;valor_medio_equipe;idade_media_equipe
2018;33;Palmeiras;1;80;38;19;626069;802730,00;64;42;22;27;37;23;11;4;34975000; 28,20 
2018;22;Flamengo;2;72;38;19;966575;1497922,00;59;30;29;24;35;21;9;8;48047368; 27,26 
2018;28;Internacional;3;69;38;19;604543;1064000,00;51;32;19;22;29;19;12;7;23519737; 26,46 
2018;26;Grêmio;4;66;38;19;456000;1150260,00;48;36;12;20;28;18;12;8;33473684; 26,74 
2018;43;São Paulo;5;63;38;19;652393;1281132,00;46;25;21;24;22;16;15;7;25515789; 28,31 
2018;5;Atlético-MG;6;59;38;19;353993;437342,00;56;31;25;24;32;17;8;13;20689474; 29,04 
2018;6;Atlético-PR;7;57;38;19;231409;805068,00;54;44;10;22;32;16;9;13;12697368; 26,84 
2018;16;Cruzeiro;8;53;38;19;355581;1059694,00;34;25;9;15;19;14;11;13;22788158; 28,93 
2018;9;Botafogo;9;51;38;19;241907;891689,00;38;22;16;21;17;13;12;13;12910526; 25,96 
2018;41;Santos;10;50;38;19;218007;485750,00;46;28;18;19;27;13;11;14;34160526; 26,55 
2018;19;EC Bahia;11;48;38;19;368899;997500,00;39;27;12;11;28;12;12;14;12821053; 27,30 
2018;23;Fluminense;12;45;38;19;288238;1551684,00;32;17;15;18;14;12;9;17;12056579; 25,13 
2018;11;Ceará SC;13;44;38;19;543049;945836,00;32;18;14;14;18;10;14;14;6608947; 26,37 
2018;12;Chapecoense;14;44;38;19;190294;429400,00;34;24;10;10;24;11;11;16;11001316; 27,66 
2018;13;Corinthians;15;44;38;19;598893;934895,00;34;19;15;11;23;11;11;16;26588158; 26,46 
2018;45;Vasco da Gama;16;43;38;19;292290;618144,00;41;29;12;15;26;10;13;15;9265789; 22,92 
2018;44;Sport Recife;17;42;38;19;317635;676154,00;35;19;16;12;23;11;9;18;11019737; 27,90 
2018;1;América-MG;18;40;38;19;121742;475000,00;30;22;8;18;12;10;10;18;8535526; 29,32 
2018;20;EC Vitória;19;37;38;19;179557;677008,00;36;22;14;12;24;9;10;19;9417895; 25,12 
2018;34;Paraná;20;23;38;19;128936;361494,00;18;13;5;6;12;4;11;23;5084737; 25,62 
2019;22;Flamengo;1;90;38;19;1120849;1466015,00;86;56;30;34;52;28;6;4;65952632; 27,44 
2019;33;Palmeiras;2;74;38;19;538313;790360,00;61;40;21;25;36;21;11;6;50763158; 29,12 
2019;41;Santos;3;74;38;19;197352;399160,00;60;44;16;29;31;22;8;8;32055263; 27,13 
2019;26;Grêmio;4;65;38;19;365119;1077370,00;64;38;26;29;35;19;8;11;48846053; 28,44 
2019;3;Athletico-PR;5;64;38;19;311406;805068,00;51;26;25;20;31;18;10;10;16311842; 26,88 
